고객명,성별,연령,지역,구매일수,최종구매후기간,구매서적수,서적구매액,기타상품구매액,총구매액,관심쟝르,구매쟝르수,가입기간,SMS수신여부
한지민,여,17,부산,5,2,8,"96,000","38,400","134,400",소설,2,12,수신
장이성,남,19,서울,2,2,3,"36,000","14,400","50,400",과학,1,24,수신
이수문,남,21,서울,20,1,22,"286,000","214,500","500,500",소설,4,15,
오진호,남,25,인천,4,3,5,"60,000","24,000","84,000",시,1,16,수신
염시훈,남,26,서울,3,5,4,"160,000","64,000","224,000",소설,3,9,수신
진정희,여,26,서울,4,2,12,"144,000","201,600","345,600",소설,4,6,수신
채병태,남,27,서울,3,3,14,"280,000","112,000","392,000",시,2,8,수신
차중수,남,28,대구,3,1,5,"65,000","26,000","91,000",소설,2,20,
민지화,여,29,서울,7,2,10,"200,000","40,000","240,000",,3,21,수신
윤신훈,남,32,광주,5,4,10,"200,000","80,000","280,000",소설,3,12,수신
은지영,여,32,경기,4,2,4,"52,000","10,400","62,400",시,2,12,수신
김길수,남,34,경기,2,1,3,"27,000","5,400","32,400",소설,1,12,수신
이정호,남,37,대전,11,3,18,"360,000","72,000","432,000",과학,3,18,
이진찬,남,39,경기,2,3,3,"60,000","36,000","96,000",경제경영,2,18,수신
이민식,남,42,서울,2,2,4,"48,000","19,200","67,200",소설,2,12,수신
장진수,남,43,경기,1,2,2,"26,000","9,100","35,100",소설,1,6,
윤미진,여,43,인천,1,4,1,"12,000","4,800","16,800",소설,1,7,
차훈,남,44,광주,2,2,3,"36,000","14,400","50,400",경제경영,2,3,수신
박찬후,남,50,서울,1,1,3,"36,000","43,200","79,200",소설,1,5,수신
심진은,여,50,제주,10,2,25,"300,000","300,000","600,000",시,1,12,수신
